crews,popularity,imdb_avgRating
 	Zhang Jing,0.6,4.6
 Christie Kacusca,0.6,4.7
 Dale Trevillion	 ,1.128,4.8
 Prasanna Kumar Bejawada,0.6,5.9
 Tôru Hosokawa,0.6,4.6
'Evil' Ted Smith,0.6,3.9
1280 Almas,0.6,5.1
17 Hippies,0.6,7.1
A Jayan,0.6,4.7
A K Lohithadas,0.6,5.550000000000001
A K S Nambiar,0.6,8.9
A K Sajan,0.98,5.233333333333333
A Keerthi Vasan,0.6,7.2
A M Jyothi Krishna,0.6,5.3
A Manohar Prasad,0.6,7.9
A S Anbu,0.6,5.1
A. A. Milne,1.22,6.4
A. Amaran,0.6,7.65
A. Ansari,0.6,4.9
A. Anthoniraj,0.6,7.3
A. Balakrishnan,0.6,7.1
A. Blaine Miller,0.6,5.3
A. C. Mugil,1.1284999999999998,3.3
A. C. Pillai,1.4,7.8
A. Dean Bell,0.6,6.5
A. E. Gunasekaran,0.6,7.4
A. G. Nadiawala,0.6,8.2
A. Karthik Raja,0.6,5.5
A. Karunakaran,0.6,6.666666666666667
A. Leslie Thomas,0.98,5.6
A. M. Rathnam,0.6,6.316666666666666
A. M. Turaz,0.6,5.9
A. Maxine Martin,0.6,4.9
A. Melvin McDonald,0.6,5.7
A. Mohan,0.6,6.35
A. Muthu,0.6,3.5
A. Patrick Storey,0.6,6.9
A. R. Mohan,0.6,3.7
A. R. Mukesh,0.6,4.5
A. R. Rahman,0.6102702702702705,6.127777777777777
A. R. Reihana,0.6,5.4
A. Raja,0.6,5.1
A. Razak Mohaideen,2.18,4.175
A. S. Dinesh,0.6,5.7
A. Sarkunam,0.656,3.9
A. Sukumaran,0.6,5.6
A. Tirumal Reddy,0.98,
A. Venkatesh,0.6,6.083333333333335
A.B.S.S. Mohan Rao,0.6,5.4
A.C. Newman,0.694,7.0
A.D. Calvo,0.6,5.1
A.F. Koshko,0.6,7.6
A.G. Striedl,0.6,4.6
A.J. Briones,0.6,5.1
A.J. Cipolla,0.6,3.2
A.J. Dix,0.6,5.9
A.J. Draven,0.98,2.6
A.J. Jamal,0.6,6.9
A.J. Pfeifer,0.6,8.3
A.J. Raitano,0.6,4.6
A.J. Tesler,0.6,
A.K. Sajan,0.6,6.3
A.K. Santhosh,0.6,6.3
A.M. Homes,0.6,6.5
A.N. Balakrishnan,0.6,4.5
A.R. Murugadoss,0.709,7.32
A.R. Tubbs,0.6,3.6
A.S. Byatt,1.4,6.3
A.S. Ravi Kumar Chowdary,0.6,2.7
A.V. Anoop,0.6,6.0
A.W. Gryphon,0.6,3.6
A.W. Vidmer,0.6,6.1
AB Jubin,0.6,5.7
AJ Kparr,0.84,4.7
AJ Schnack,0.694,7.550000000000001
AJ Wedding,0.6,6.8
AJC Pennyworth,0.6,6.0
AL,0.694,5.8
ANGELA BURRIS,0.6,8.5
ANL Arasu,0.6,7.8
APG Elumalai,0.6,6.6
AS Laxmi Narayanan,0.6,7.800000000000001
ASKA,0.6,6.2
Aacharee Ungsriwong,0.6,6.2
Aad Wirtz,1.614,7.449999999999999
Aadesh K. Arjun,0.6,4.95
Aadesh Shrivastva,0.6,4.340000000000001
Aaditi Agarwal,0.6,6.9
Aage Aaberge,0.6,5.58
Aage Rais-Nordentoft,0.6,5.0
Aagot Skjeldal,0.6,6.1
Aakomon Jones,1.528,6.5
Aamir Khan,1.029,8.0
Aamir Shaikh,0.6,4.6
Aamund Johannesen,0.6,5.1
Aanand L. Rai,0.6,5.0
Aanchal Nandrajog,0.6,6.4
Aanchal Shrivastava,0.6,5.4
Aanya Whitehead,0.6,7.25
Aardia,0.6,2.5
Aare Toikka,0.98,5.8
Aarif Sheikh,0.6,5.9
Aarne Mägi,0.6,5.8
Aaron 'Cujo' Cooley,0.6,5.6
Aaron Abrams,1.481,6.2
Aaron Allen,0.694,7.0
Aaron Allred,0.6,4.3
Aaron B. Koontz,1.164,
Aaron Barnes,0.6,5.449999999999999
Aaron Barnett,0.6,6.3
Aaron Behl,0.98,5.0
Aaron Bond,0.6,8.3
Aaron Briffa,0.6,
Aaron Bromley,0.6,6.5
Aaron Brown,1.932,6.5
Aaron Cardwell,0.6,7.5
Aaron Cheung,0.6,4.4
Aaron Cilia,0.6,
Aaron Craemer,0.6,6.0
Aaron Daniel Annas,0.6,5.6
Aaron Davis,0.6,7.7
Aaron Eccles Smith,0.6,7.4
Aaron Eckhart,6.979,6.2
Aaron Edson,0.6,7.6
Aaron F. Quarles,1.932,6.8
Aaron Fiehn,0.6,3.7
Aaron Gelperin,0.6,8.2
Aaron Glascock,0.702,6.4
Aaron Griffith,0.6,4.7
Aaron Harvey,0.659,2.5
Aaron Haye,1.139,7.5
Aaron J. Christopher,0.6,6.8
Aaron J. Wiederspahn,0.6,6.6
Aaron Jacob Collier,0.6,
Aaron James Sorensen,0.6,6.1
Aaron K. Carter,0.6,6.9
Aaron Kaminar,1.4,5.25
Aaron Katz,0.98,6.35
Aaron L. Gilbert,0.728,4.7
Aaron Lee Lopez,0.6,7.5
Aaron Levy,0.828,4.9
Aaron Lubarsky,0.98,6.8
Aaron Lubin,0.6,6.575
Aaron Mazzolini,0.6,6.6
Aaron Merrill,0.6,6.6
Aaron Meziere,0.6,3.6
Aaron Michael Metchik,0.6,6.0
Aaron Mirtes,1.4,5.9
Aaron Osborne,0.828,5.983333333333333
Aaron Parry,0.98,5.6
Aaron Platt,0.6,5.5
Aaron Poole,2.744,5.6
Aaron Pope,0.6,3.4000000000000004
Aaron Rahsaan Thomas,1.96,5.5
Aaron Rattner,0.6,6.5
Aaron Renning,0.6,6.3
Aaron Richard Golub,0.6,6.5
Aaron Robson,0.6,2.5
Aaron Rose,0.6,7.1
Aaron Rottinghaus,0.84,4.3
Aaron Russo,1.38,7.9
Aaron Ryder,1.7079999999999997,6.7555555555555555
Aaron Saidman,1.4,6.9
Aaron Seltzer,0.6,2.8
Aaron Sorkin,2.03,7.4
Aaron Spelling,3.661,5.5
Aaron Springer,1.96,7.1
Aaron Steele-Nicholson,0.98,6.1
Aaron Strongoni,0.6,3.55
Aaron Taylor-Johnson,10.009,6.2
Aaron Vanek,0.6,6.0
Aaron Williams,1.4000000000000001,5.416666666666667
Aaron Wolf,0.6,5.6
Aaron Woodley,1.38,6.0
Aaron Woolfolk,0.6,6.3
Aaron Yamamoto,0.6,3.0
Aaron Yanes,0.6,7.5
Aaron Zigman,0.6519999999999999,6.188235294117648
Aaron pugliese,0.6,4.9
Aarti Bajaj,0.76,7.875
Aarón Borrás,0.6,
Aarón Fernández Lesur,0.6,6.8
Aashish Dwyer,0.6,6.5
Aashish Singh,0.6,6.2
Aatish Kapadia,1.6900000000000002,5.766666666666667
Abanti Chakrabarty,0.6,7.5
Abba Makama,0.6,5.3
Abbas Abbasi,0.6,4.7
Abbas Alibhai Burmawalla,1.4000000000000001,5.733333333333334
Abbas Ben El Abbas,0.6,5.6
Abbas Bolvandi,0.6,
Abbas Ganjavi,0.6,6.75
Abbas Ghazali,0.6,8.1
Abbas Kiarostami,2.741,6.779999999999999
Abbas Rafei,0.6,7.1
Abbas Tabas,0.6,7.4
Abbas Tyrewala,0.6,5.8125
Abbe Wool,1.4,4.1
Abbi Jutkowitz,1.4,7.2
Abbie Conant,0.6,6.8
Abbie Williams,0.6,
Abbs Abdali,0.6,6.2
Abburi Ravi,0.996,7.1499999999999995
Abby Eldipie,0.98,6.2
Abby Epstein,0.694,7.4
Abby Hoyt,0.98,6.9
Abby Kohn,1.4,6.050000000000001
Abdel-Rahim Kamal,0.828,5.0
Abdelaziz Ben Mlouka,0.6,6.5
Abdelkrim Bahloul,0.6,6.4
Abdelkrim Derkaoui,0.6,8.5
Abdellatif Abdelhamid,0.6,6.8
Abdellatif Ben Ammar,0.6,8.4
Abdellatif Chaarani,0.6,7.3
Abdellatif Kechiche,1.3999999999999997,7.1000000000000005
Abdellatif Raïss,0.6,7.6
Abderrahmane Sissako,1.528,6.5600000000000005
Abdolhamid Ghadirian,0.6,7.4
Abdollah Alikhani,0.6,5.5
Abdollah Eskandari,0.6,5.266666666666667
Abdoul Karim Dembélé,0.6,7.3
Abdul Hamid Shaikh,0.6,4.2
Abdul Malik Abbott,0.6,4.5
Abdul O'Toole,0.6,7.2
Abdul Wahid Siddique,0.6,4.0
Abdul Williams,0.6,5.0
Abdulah Sidran,0.656,6.4
Abdullah Al-Eyaf,0.6,7.2
Abdullah Ommidvar,0.6,5.2
Abdullah Oğuz,0.6,5.82
Abe Forsythe,0.766,6.4
Abe Kwong,0.6,6.0
Abe Levy,0.6,7.1
Abe Shainberg,0.6,4.6
Abe Yarou,0.6,5.0
Abe Yepez,0.6,7.0
Abeenraj M.A.,0.6,4.7
Abeille Tard,0.98,6.6
Abel Arcos Soto,0.6,5.7
Abel Facello,0.6,5.9
Abel Ferrara,1.4,5.25
Abel Jazz,0.6,4.8
Abel Korzeniowski,0.828,7.033333333333334
Abel Nahmias,0.828,5.3
Abel Peñalba,0.6,7.3
Abel Ribeiro Chaves,0.6,4.6
Abelardo O. Martínez,0.6,4.1
Abhay Adaka,0.6,6.7
Abhay Chopra,0.6,6.3
Abhay Manusmare,1.4,6.425000000000001
Abhay Sofsky,0.6,8.2
Abhay Sopori,0.6,3.7
Abhigyan Jha,0.6,5.1
Abhijat Joshi,0.6,5.966666666666666
Abhijeet,0.6,4.5
Abhijeet Bhattacharya,0.6,4.525
Abhijeet Khuman,0.609,6.8
Abhijeet Sawant,0.828,3.55
Abhijeet Shirish Deshpande,0.6,5.8
Abhijeet Ubale,0.6,6.6
Abhijit Guha,0.6,6.5
Abhilash Kumar,0.6,8.4
Abhimanyu Mukherjee,0.6,3.8
Abhinav Kashyap,0.6,5.9
Abhineet Christian,0.6,8.2
Abhiram Bhadkamkar,0.6,6.9
Abhishek Arora,0.6,6.3
Abhishek Bachchan,1.594,3.7
Abhishek Banerjee,0.794,7.8
Abhishek Chaubey,0.6,7.45
Abhishek Kapoor,1.176,4.4
Abhishek Ray,0.6,7.0
Abhishek Shah,0.6,8.7
Abhishek Sharma,0.6,5.8
Abhishek Shekhawat,0.6,4.5
Abhishek Vaidya,0.6,5.4
Abhishek Vyas,0.6,5.8
Abi Morgan,0.6,6.6
Abi Parayno,0.6,5.0
Abi Tapia,0.6,7.1
Abid Majid,0.6,7.3
Abida Parveen,0.6,7.1
Abie Prabu,0.6,5.9
Abigail Aguino,0.6,
Abigail Child,0.6,6.0
Abigail Murray,0.6,7.1
Abigail Savage,0.84,7.0
Abigail Shafran,0.6,5.5
Abigail Wright,0.6,7.1
Abir Dutta,0.6,
Abisola Omolade,0.6,
Abner Benaim,0.6,7.1
Abner Prado Tulagan,0.6,
Abolfazl Jalili,0.828,6.7
Abolhassan Davoodi,0.6,7.1
Abood Albadarin,0.6,4.9
Abra Edelman,0.98,4.333333333333333
Abraham B. Jehoshua,0.84,4.1
Abraham Cassis,0.6,6.0
Abraham Cruz,0.6,7.1
Abraham Goldblat,0.6,7.6
Abraham Haile Biru,0.6,6.6
Abraham Lim,0.6,6.3
Abraham Mancilla,0.656,3.8
Abraham Mathew,0.6,7.0
Abraham Ulayuruluk,0.828,6.3
Abril Balderrama,0.6,5.6
Abu Aleeha,0.6,6.3
Abu Sayeed,0.6,7.533333333333334
Abu Thahir,0.6,6.5
Aby Jose,0.6,5.4
Abylay Zhakashov,0.6,4.1
Abílio Leitão,0.6,5.8
Ace Allgood,0.6,7.2
Ace Buckley,0.6,5.6
Ace Cruz,0.6,4.55
Achal Mishra,0.6,7.8
Achero Mañas,0.98,7.45
Achiel Nasrun,0.6,3.0
Achille Bibard,0.6,6.7
Achim Bornhak,0.98,6.5
Achim Burkart,0.6,6.5
Achim Forst,0.6,4.4
Achim Seidel,0.6,6.85
Achim von Borries,0.6,7.033333333333334
Achin R. Lamba,0.6,7.9
Aclan Büyüktürkoğlu,0.6,6.3
Acrassicauda,0.6,7.7
Acácio de Almeida,0.6,6.3500000000000005
Ad Stoop,0.6,6.6
Ada Campbell,0.6,5.1
Ada Frontini,0.6,7.6
Ada Levin,0.6,7.4
Ada Solomon,0.656,6.375
Ada Vertan,0.6,5.8
Adair Dominguez,0.6,5.1
Adalberto Flores,0.6,6.4
Adam 'Tex' Davis,0.6,6.1
Adam Abel,0.6,6.45
Adam Ackland,0.6,4.2
Adam Alleca,0.972,6.5
Adam Anderson,0.98,7.4
Adam Antoniades,0.6,8.8
Adam Bajerski,0.6,7.0
Adam Balazs,0.98,5.25
Adam Baratta,0.6,4.55
Adam Bardach,0.6,8.8
Adam Barth,0.6,5.5
Adam Batz,0.98,5.8
Adam Beck,0.6,5.8
Adam Bhala Lough,0.6,6.166666666666667
Adam Bohling,0.62325,7.15
Adam Bonfanti,0.6,7.0
Adam Boome,0.6,6.9
Adam Breasley,0.6,3.6
Adam Brightman,0.98,6.966666666666666
Adam Brooks,2.617,6.279999999999999
